0,000	-0,044
0,099	-0,010
0,199	-0,009
0,299	-0,059
0,399	-0,049
0,500	-0,108
0,600	-0,022
0,700	-0,035
0,800	-0,039
0,900	-0,019
1,000	-0,012
1,100	-0,064
1,200	-0,053
1,299	-0,072
1,399	-0,045
1,499	0,001
1,599	-0,088
1,700	-0,017
1,800	-0,089
1,900	-0,101
2,000	-0,056
2,100	-0,052
2,200	-0,073
2,300	-0,096
2,400	-0,050
2,499	-0,100
2,599	-0,068
2,699	-0,077
2,799	-0,051
2,900	-0,077
3,000	-0,068
3,100	-0,015
3,200	-0,029
3,300	-0,051
3,400	-0,043
3,500	-0,066
3,600	-0,040
3,699	-0,067
3,799	-0,061
3,899	-0,067
3,999	-0,029
4,100	-0,091
4,200	-0,049
4,300	-0,125
4,400	-0,142
4,500	-0,042
4,600	-0,069
4,700	-0,130
4,800	-0,032
4,899	-0,030
4,999	-0,072
5,099	-0,046
5,199	-0,042
5,299	-0,068
5,400	-0,039
5,500	-0,084
5,600	-0,017
5,700	-0,060
5,800	-0,016
5,900	-0,050
6,000	-0,044
6,099	-0,044
6,199	-0,023
6,299	-0,092
6,399	-0,073
6,499	-0,090
6,600	-0,044
6,700	-0,059
6,800	-0,061
6,900	-0,069
7,000	-0,070
7,100	-0,040
7,200	-0,080
7,300	-0,049
7,399	-0,044
7,499	-0,002
7,599	-0,072
7,699	-0,074
7,800	-0,086
7,900	-0,087
8,000	-0,074
8,100	-0,065
8,200	-0,072
8,300	-0,076
8,400	-0,096
8,500	-0,090
8,599	-0,103
8,699	-0,093
8,799	-0,098
8,899	-0,108
9,000	-0,112
9,100	-0,080
9,200	-0,058
9,300	-0,102
9,400	-0,110
9,500	-0,108
9,600	-0,044
9,700	-0,104
9,799	-0,032
9,899	-0,056
9,999	-0,056
10,099	-0,049
10,200	-0,121
10,300	-0,037
10,400	-0,099
10,500	-0,056
10,600	-0,098
10,700	-0,108
10,800	-0,065
10,900	-0,046
10,999	-0,102
11,099	-0,041
11,199	-0,040
11,299	-0,091
11,400	-0,088
11,500	-0,077
11,600	-0,034
11,700	-0,052
11,800	-0,077
11,900	-0,058
12,000	-0,038
12,100	-0,072
12,199	-0,034
12,299	-0,079
12,399	-0,021
12,499	-0,102
12,600	-0,058
12,700	-0,042
12,800	-0,104
12,900	-0,012
13,000	-0,056
13,100	-0,038
13,200	-0,091
13,300	-0,066
13,399	-0,051
13,499	-0,114
13,599	-0,120
13,699	-0,085
13,800	-0,087
13,900	-0,033
14,000	-0,049
14,100	-0,069
14,200	-0,023
14,300	-0,084
14,400	-0,028
14,500	-0,059
14,599	-0,060
14,699	-0,066
14,799	-0,085
14,899	-0,016
15,000	-0,011
15,100	-0,010
15,200	-0,079
15,300	-0,016
15,400	-0,071
15,500	0,001
15,600	-0,058
15,700	-0,061
15,799	-0,053
15,899	-0,028
15,999	-0,032
16,099	0,031
16,200	0,041
16,300	0,034
16,400	-0,039
16,500	-0,019
16,600	-0,036
16,700	0,001
16,800	-0,057
16,900	0,002
16,999	-0,016
17,099	-0,088
17,199	-0,127
17,299	-0,150
17,400	-0,212
17,500	-0,276
17,600	-0,217
17,700	-0,290
17,800	-0,367
17,900	-0,353
18,000	-0,466
18,100	-0,441
18,199	-0,536
18,299	-0,527
18,399	-0,591
18,499	-0,578
18,600	-0,501
18,700	-0,429
18,800	-0,325
18,900	-0,183
19,000	-0,018
19,100	0,156
19,200	0,413
19,300	0,637
19,399	0,804
19,499	0,908
19,599	0,970
19,699	0,978
19,800	0,812
19,900	0,599
20,000	0,353
20,100	0,159
20,200	-0,011
20,300	-0,213
20,400	-0,292
20,500	-0,292
20,599	-0,298
20,699	-0,280
20,799	-0,152
20,899	-0,115
21,000	-0,084
21,100	-0,121
21,200	-0,077
21,300	-0,057
21,400	-0,047
21,500	-0,013
21,600	0,002
21,700	-0,052
21,799	0,005
21,899	0,019
21,999	0,022
22,099	0,030
22,200	0,068
22,300	0,037
22,400	-0,009
22,500	0,013
22,600	-0,013
22,700	-0,035
22,800	-0,061
22,900	0,021
22,999	-0,045
23,099	-0,021
23,199	-0,077
23,299	-0,066
23,400	-0,078
23,500	-0,078
23,600	-0,023
23,700	-0,075
23,800	-0,127
23,900	-0,148
24,000	-0,175
24,100	-0,108
24,199	-0,115
24,299	-0,217
24,399	-0,173
24,499	-0,120
24,600	-0,177
24,700	-0,135
24,800	-0,059
24,900	-0,048
25,000	-0,029
25,100	-0,072
25,200	-0,022
25,300	-0,040
25,399	-0,017
25,499	-0,009
25,599	-0,001
25,699	-0,052
25,800	-0,054
25,900	-0,137
26,000	-0,152
26,100	-0,145
26,200	-0,165
26,300	-0,238
26,400	-0,219
26,500	-0,266
26,599	-0,258
26,699	-0,279
26,799	-0,289
26,899	-0,285
27,000	-0,203
27,100	-0,197
27,200	-0,202
27,300	-0,205
27,400	-0,112
27,500	-0,130
27,600	-0,084
27,700	-0,097
27,799	-0,081
27,899	-0,072
27,999	-0,110
28,099	-0,100
28,200	-0,043
28,300	0,020
28,400	-0,003
28,500	-0,044
28,600	-0,087
28,700	-0,098
28,800	-0,078
28,900	0,011
28,999	-0,029
29,099	-0,024
29,199	-0,062
29,299	-0,057
29,400	-0,054
29,500	-0,113
29,600	-0,056
29,700	-0,078
29,800	-0,125
29,900	-0,154
30,000	-0,196
30,100	-0,149
30,199	-0,129
30,299	-0,143
30,399	-0,109
30,499	-0,036
30,600	0,029
30,700	0,091
30,800	0,112
30,900	0,071
31,000	0,093
31,100	0,113
31,200	0,118
31,300	0,079
31,399	0,066
31,499	0,037
31,599	0,054
31,699	0,027
31,799	-0,048
31,900	-0,025
32,000	-0,073
32,100	-0,071
32,200	-0,069
32,300	-0,049
32,400	-0,008
32,500	-0,092
32,599	-0,071
32,699	-0,050
32,799	0,007
32,899	-0,041
32,999	-0,029
33,100	-0,011
33,200	0,009
33,300	0,018
33,400	0,019
33,500	0,060
33,600	0,036
33,700	0,061
33,800	0,030
33,899	-0,024
33,999	-0,021
34,099	-0,064
34,199	0,001
34,300	-0,027
34,400	0,055
34,500	0,010
34,600	0,034
34,700	-0,020
34,800	-0,022
34,900	-0,046
35,000	-0,028
35,099	-0,019
35,199	-0,127
35,299	-0,104
35,399	-0,108
35,500	-0,151
35,600	-0,088
35,700	-0,110
35,800	-0,146
35,900	-0,155
36,000	-0,096
36,100	-0,095
36,200	-0,087
36,299	-0,132
36,399	-0,048
36,499	-0,000
36,599	-0,035
36,700	-0,049
36,800	-0,040
36,900	-0,097
37,000	-0,033
37,100	-0,011
37,200	-0,046
37,300	-0,062
37,400	-0,088
37,499	-0,023
37,599	-0,042
37,699	-0,073
37,799	-0,064
37,900	-0,054
38,000	-0,058
38,100	-0,091
38,200	-0,088
38,300	-0,055
38,400	-0,116
38,500	-0,067
38,600	-0,087
38,699	-0,097
38,799	-0,085
38,899	-0,141
38,999	-0,117
39,100	-0,135
39,200	-0,206
39,300	-0,164
39,400	-0,198
39,500	-0,248
39,600	-0,231
39,700	-0,258
39,800	-0,233
39,899	-0,237
39,999	-0,217
40,099	-0,241
40,199	-0,244
40,300	-0,324
40,400	-0,258
40,500	-0,294
40,600	-0,172
40,700	-0,246
40,800	-0,187
40,900	-0,122
41,000	0,013
41,099	0,026
41,199	0,153
41,299	0,228
41,399	0,256
41,500	0,271
41,600	0,272
41,700	0,272
41,800	0,214
41,900	0,200
42,000	0,103
42,100	0,037
42,200	-0,116
42,299	-0,108
42,399	-0,208
42,499	-0,187
42,599	-0,199
42,700	-0,204
42,800	-0,164
42,900	-0,155
43,000	-0,062
43,100	-0,059
43,200	0,018
43,300	-0,015
43,400	0,011
43,499	-0,003
43,599	0,039
43,699	-0,003
43,799	0,006
43,900	0,027
44,000	0,024
44,100	0,000
44,200	0,039
44,300	0,057
44,400	-0,044
44,500	-0,038
44,600	-0,017
44,699	-0,055
44,799	0,003
44,899	0,002
44,999	-0,067
45,100	-0,050
45,200	-0,069
45,300	-0,071
45,400	-0,100
45,500	-0,086
45,600	-0,113
45,700	-0,150
45,800	-0,135
45,899	-0,121
45,999	-0,182
46,099	-0,176
46,199	-0,144
46,300	-0,208
46,400	-0,174
46,500	-0,102
46,600	-0,105
46,700	-0,055
46,800	-0,060
46,900	-0,050
47,000	-0,027
47,099	-0,032
47,199	-0,065
47,299	-0,082
47,399	-0,086
47,500	-0,011
47,600	0,006
47,700	-0,086
47,800	-0,056
47,900	-0,122
48,000	-0,126
48,100	-0,100
48,200	-0,172
48,299	-0,102
48,399	-0,121
48,499	-0,131
48,599	-0,122
48,700	-0,146
48,800	-0,115
48,900	-0,168
49,000	-0,128
49,100	-0,092
49,200	-0,115
49,300	-0,078
49,400	-0,086
49,499	-0,078
49,599	-0,047
49,699	-0,125
49,799	-0,098
49,900	-0,040
50,000	-0,071
50,100	-0,099
50,200	-0,068
50,300	-0,090
50,400	-0,113
50,500	-0,084
50,600	-0,039
50,699	-0,060
50,799	-0,038
50,899	-0,072
50,999	-0,049
51,100	-0,120
51,200	-0,095
51,300	-0,108
51,400	-0,105
51,500	-0,045
51,600	-0,009
51,700	-0,067
51,800	-0,050
51,899	-0,072
51,999	-0,030
52,099	-0,097
52,199	-0,078
52,300	-0,124
52,400	-0,086
52,500	-0,086
52,600	-0,003
52,700	0,034
52,800	-0,027
52,900	0,060
53,000	0,008
53,099	0,006
53,199	-0,041
53,299	0,012
53,399	-0,037
53,500	-0,044
53,600	0,002
53,700	-0,060
53,800	-0,021
53,900	-0,060
54,000	-0,019
54,100	-0,010
54,200	-0,088
54,299	-0,037
54,399	-0,034
54,499	-0,038
54,599	-0,044
54,700	0,024
54,800	-0,015
54,900	0,039
55,000	-0,012
55,100	0,007
55,200	-0,017
55,300	-0,086
55,400	-0,010
55,499	-0,058
55,599	0,040
55,699	0,009
55,799	-0,030
55,900	0,020
56,000	0,002
56,100	0,012
56,200	0,001
56,300	0,041
56,400	0,046
56,500	0,003
56,600	-0,011
56,699	-0,029
56,799	0,003
56,899	-0,123
56,999	-0,115
57,100	-0,057
57,200	-0,126
57,300	-0,093
57,400	-0,116
57,500	-0,100
57,600	-0,083
57,700	-0,055
57,800	-0,155
57,899	-0,062
57,999	-0,071
58,099	-0,110
58,199	-0,113
58,299	-0,008
58,400	-0,029
58,500	-0,016
58,600	-0,041
58,700	-0,025
58,800	-0,054
58,900	-0,020
59,000	-0,036
59,099	-0,057
59,199	-0,039
59,299	-0,014
59,399	-0,030
59,499	-0,038
59,600	-0,105
59,700	0,016
59,800	-0,080
59,900	-0,065
60,000	-0,062
60,100	-0,058
60,200	-0,087
60,300	-0,016
60,399	-0,071
60,499	-0,097
60,599	-0,089
60,699	-0,118
60,800	-0,095
60,900	-0,136
61,000	-0,120
61,100	-0,137
61,200	-0,150
61,300	-0,134
61,400	-0,151
61,500	-0,126
61,599	-0,177
61,699	-0,128
61,799	-0,123
61,899	-0,186
62,000	-0,165
62,100	-0,139
62,200	-0,150
62,300	-0,181
62,400	-0,163
62,500	-0,124
62,600	-0,135
62,700	-0,093
62,799	-0,047
62,899	-0,065
62,999	-0,030
63,099	0,009
63,200	0,062
